function,compile_success,duration_sec,num_preconditions,stubs,custom_loop_limits,max_loop_limit,tokens.total_tokens,costs.total_cost,coverage.overall.hit,coverage.overall.total,coverage.non_harness.hit,coverage.non_harness.total,harness_size,verification.error_count
_gcoap_forward_proxy_copy_options,True,1056.0971360206604,15,4,0,2,3427058,1.0684023,141,144,53,54,43,2
gnrc_sixlowpan_iphc_recv,True,1443.86097407341,4,9,0,2,5282397,1.6479995,93,436,52,352,24,4
gnrc_rpl_recv_DAO,True,1498.1310613155365,3,3,0,1,6588207,1.8864233499999998,75,299,33,256,32,0
base64_encode_base,True,468.95854687690735,10,0,0,6,1189261,0.5280513,45,103,37,61,42,13
gnrc_rpl_srh_process,True,1392.3217751979828,12,1,0,10,1889626,0.71295875,95,95,63,63,28,0
_on_rd_init,True,240.00023365020752,3,2,0,1,941689,0.7233023,48,48,21,21,20,2
clif_decode_link,True,424.2711293697357,4,0,0,5,1523496,0.7073353,103,115,80,92,23,122
_receive,True,483.9879732131958,4,8,0,4,2483512,1.25953205,148,153,88,93,13,0
uri_parser_process,True,1223.3038358688354,3,1,0,8,1966300,0.7767693499999999,144,150,132,138,8,21
_iphc_encode,True,1701.390700340271,10,9,0,64,5406607,1.7160524499999998,195,350,121,268,33,0
