function,compile_success,harness_size,program_files,coverage.non_harness.hit,coverage.non_harness.total,custom_loop_limits,max_loop_limit,num_preconditions,stubs,verification.error_count
_gcoap_forward_proxy_copy_options,True,91,1,53,54,0,2,13,4,2
_iphc_encode,True,98,6,135,270,2,32,23,9,0
_on_rd_init,True,31,1,21,21,0,1,5,2,2
_receive,True,118,6,108,108,0,20,9,11,0
base64_encode_base,True,31,2,55,59,0,8,9,0,7
clif_decode_link,True,26,1,90,92,0,4,6,1,5
gnrc_rpl_recv_DAO,True,11,8,238,256,0,2,5,5,0
gnrc_rpl_srh_process,True,22,2,63,63,0,60,4,1,0
gnrc_sixlowpan_iphc_recv,True,66,8,132,352,0,1,3,7,0
uri_parser_process,True,72,1,130,138,0,9,7,2,0
